거래번호,거래일시,사원번호,사용처,결제수단,거래타입,총결제금액,식권결제금액,쿠폰명
2023040383468030,2023.04.03 11:30:04,4bdb27b30df5380cec5d8b41,퀴즈노스(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023040383468031,2023.04.03 11:30:05,6007043b86d50e0ece65066f,버거킹(판교유스페이스),쿠폰,승인,10800,10800,넥슨코리아 식권 (월~금)
2023040383468040,2023.04.03 11:30:06,831b887d9047dc4d14fd569c,버거킹(판교유스페이스),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023040383468096,2023.04.03 11:30:16,63ce3a1e18d3715268ed7bee,후루룩손칼국수,쿠폰,승인,10000,10000,넥슨코리아 식권 (월~금)
2023040383468111,2023.04.03 11:30:18,1cba5cbebc5a5c9486f83aa3,버거킹(판교유스페이스),쿠폰,승인,11200,11200,넥슨코리아 식권 (월~금)
2023040383468139,2023.04.03 11:30:23,62aaeeefe439751427882b0d,써브웨이(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023040383468172,2023.04.03 11:30:29,79b2385b6f07faeddf18d7c2,탄멘센야,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304033480011292,2023.04.03 11:30:45,9e6ee9f69eceaee9bae191a0,맥도날드(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023040383468302,2023.04.03 11:30:50,042c3d95c2ef4dca51dc9da4,버거킹(판교유스페이스),쿠폰,승인,10100,10100,넥슨코리아 식권 (월~금)
2023040383468298,2023.04.03 11:30:50,2ce624d1af9961e7198ed777,탄멘센야,쿠폰,승인,11700,11700,넥슨코리아 식권 (월~금)
2023040383468432,2023.04.03 11:31:13,346351b6728dc5ab7fa6f98d,탄멘센야,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023040383468576,2023.04.03 11:31:33,c96ac18e4c61ae31a19b269f,퀴즈노스(판교테크노밸리점),쿠폰,승인,11400,11400,넥슨코리아 식권 (월~금)
